timestamp actual_TCP_pose_0 actual_TCP_pose_1 actual_TCP_pose_2 actual_TCP_pose_3 actual_TCP_pose_4 actual_TCP_pose_5 input_double_register_0 input_double_register_1 input_double_register_2 input_double_register_3 input_double_register_4 input_double_register_5
2029.973 -0.1341805518110542 -0.2983371555770895 0.1850593460267847 -2.211736281941264 -2.211009627786074 0.014929891381641107 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2030.973 -0.13419717156015262 -0.2983350298119671 0.18505383551794896 -2.211806893949214 -2.210961534908118 0.014934343936282676 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2031.981 -0.13419686060524946 -0.29834051085197355 0.1850600044311289 -2.2117697643409975 -2.2109849234997703 0.014974550521030647 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2032.9889999999998 -0.13417835800157343 -0.29834809069326373 0.18504740485451648 -2.211664170347911 -2.211103954596313 0.014901157109969497 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2033.9969999999998 -0.13419665526423227 -0.29834323578316246 0.1850678719815067 -2.2117007396579393 -2.211038127206918 0.015041034563550697 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2035.0049999999999 -0.1341938743750892 -0.29834537924285615 0.18506370973546457 -2.211745174854401 -2.2110451939324105 0.014968704239236661 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2036.013 -0.13418539125069395 -0.29834078460562813 0.18504218937972788 -2.21170091089969 -2.211049991950623 0.014910151284096472 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2037.013 -0.1341991537938474 -0.2983412245998034 0.18506189968403186 -2.2117544654102685 -2.210999072210113 0.014999072946661913 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2038.021 -0.13418806518966733 -0.2983360655822783 0.18507270937281667 -2.211707868470438 -2.211043959205755 0.015030582236326508 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2039.029 -0.13418310670064015 -0.29833816553157866 0.1850533962436357 -2.2117190547620442 -2.2110371239522317 0.014940300766450828 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
2040.0369999999998 -0.13419473807348134 -0.298337155732499 0.18504982965031763 -2.2117640054687953 -2.2110354957210205 0.014891743535185463 -0.13787 -0.29821 0.03 -2.21176 -2.21104 0.01494
