                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0697,                 5.3579,                0.71494,                  3.929,                 2.3511,                0.24581,                   0.35,                0.15553,                0.07323,                0.24235,                    0.1,                0.10632,                0.03131,                 1.9354,                 6.8183,                0.67339,                 2.7461,                 2.6199,                  8e-05,                  8e-05,                  8e-05
                      2,                  1.184,                  5.522,                0.70375,                 1.9378,                 1.5751,                0.64804,                0.64468,                0.64563,                0.40983,                0.01652,                    0.2,                0.01501,                0.00334,                0.90422,                  6.297,                0.65782,                 1.6661,                 1.5597,             0.00017822,             0.00017822,             0.00017822
                      3,                0.77755,                 4.8418,                0.68291,                 1.1654,                 1.2514,                0.78852,                   0.85,                0.78425,                0.63562,                0.16605,                    0.1,                0.03419,                0.00739,                0.64471,                 5.2082,                0.61828,                  1.387,                 1.2023,             0.00027446,             0.00027446,             0.00027446
                      4,                0.72207,                 3.6755,                0.66535,                0.99171,                 1.1526,                0.84058,                0.79128,                0.88961,                0.73421,                0.04788,                   0.15,                0.03122,                0.00384,                0.60927,                 5.0937,                0.55856,                 1.0838,                  1.186,             0.00036871,             0.00036871,             0.00036871
                      5,                0.68241,                 4.0516,                0.68118,                0.80555,                 1.1335,                0.94201,                      1,                0.99262,                 0.8715,                 0.1903,                    0.2,                0.08682,                0.01218,                0.55341,                 4.7633,                0.49475,                0.97492,                 1.1076,             0.00046099,             0.00046099,             0.00046099
                      6,                0.64835,                 3.7726,                0.63721,                0.61437,                 1.0682,                0.94644,                   0.95,                0.99045,                 0.8028,                 0.2428,                    0.3,                0.13155,                0.03204,                0.60298,                 4.5193,                0.46488,                0.87821,                 1.2896,             0.00055129,             0.00055129,             0.00055129
                      7,                0.65666,                  4.039,                0.63473,                0.63025,                 1.0954,                0.78146,                   0.95,                0.90045,                0.78391,                0.57528,                   0.55,                0.51414,                0.10971,                0.65059,                 4.7014,                0.47042,                0.98004,                 1.2095,             0.00063961,             0.00063961,             0.00063961
                      8,                0.62861,                  3.614,                0.62307,                0.57852,                 1.0694,                0.78252,                    0.9,                0.89686,                0.75875,                 0.5679,                   0.35,                 0.4306,                0.06756,                0.75446,                  5.074,                0.48586,                0.85917,                   1.24,             0.00072595,             0.00072595,             0.00072595
                      9,                0.67624,                 3.3862,                0.66957,                0.63778,                 1.0801,                0.94844,                0.92028,                0.98348,                0.84503,                0.38786,                   0.55,                0.37952,                0.06797,                0.66821,                 4.8794,                0.47667,                0.71149,                 1.2512,              0.0008103,              0.0008103,              0.0008103
                     10,                0.67224,                 3.2054,                0.63364,                0.59155,                 1.0967,                0.88356,                    0.9,                0.94387,                0.73799,                0.49004,                    0.5,                0.30192,                0.04788,                 0.7771,                 4.4634,                0.39873,                 1.2018,                 1.2899,             0.00089268,             0.00089268,             0.00089268
