                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1566,                 6.0376,                0.70861,                 5.4254,                 2.6487,                0.12783,                   0.25,                0.05259,                0.01123,                0.25449,                    0.2,                0.09305,                0.02332,                 3.1295,                 6.7827,                0.66954,                 3.9867,                 4.3161,                  8e-05,                  8e-05,                  8e-05
                      2,                  1.404,                 6.2043,                0.69922,                 2.0196,                 1.9309,                0.20908,                   0.35,                0.11233,                0.05161,                0.12209,                    0.1,                0.05073,                0.01149,                  2.173,                 6.5362,                0.66188,                 3.2195,                 3.4857,             0.00016218,             0.00016218,             0.00016218
                      3,                0.80503,                 5.5519,                 0.6322,                 1.3748,                 1.2465,                0.77288,                   0.55,                0.60317,                0.48277,                0.02737,                   0.05,                 0.0177,                0.00446,                 1.0745,                 5.9573,                0.62219,                 1.8542,                 1.7463,             0.00022456,             0.00022456,             0.00022456
                      4,                0.69717,                 5.0337,                0.54122,                0.90992,                 1.2134,                0.72974,                    0.6,                0.69308,                0.47134,                0.04121,                    0.1,                 0.0116,                0.00273,                 1.3302,                 5.7033,                0.57173,                 1.7371,                 2.0903,             0.00026714,             0.00026714,             0.00026714
                      5,                0.57864,                 4.6349,                0.53833,                0.62466,                 1.0742,                0.88519,                0.77172,                 0.8602,                0.68097,                0.28767,                   0.25,                0.13765,                0.01546,                0.74752,                  5.029,                0.50233,                  1.597,                 1.3618,             0.00028992,             0.00028992,             0.00028992
                      6,                0.57743,                 4.4039,                0.51305,                0.51883,                 1.1281,                0.88413,                 0.7636,                0.88194,                0.69011,                0.28457,                   0.35,                 0.1533,                0.01856,                0.86191,                 5.0704,                0.46719,                  1.585,                 1.4537,              0.0002929,              0.0002929,              0.0002929
                      7,                0.49115,                 4.0913,                0.51426,                0.49994,                 1.0355,                0.88508,                    0.9,                0.92386,                0.72794,                0.29268,                    0.3,                0.13083,                0.01623,                0.78138,                  5.534,                0.42949,                0.91953,                 1.3958,             0.00027608,             0.00027608,             0.00027608
                      8,                0.49002,                 4.3745,                 0.4745,                0.41353,                 1.0053,                0.90118,                   0.85,                0.94522,                0.84728,                0.15638,                    0.2,                0.06329,                0.00964,                0.51762,                 5.6181,                0.41692,                0.85112,                 1.0773,             0.00023946,             0.00023946,             0.00023946
                      9,                0.44815,                 4.2547,                0.45211,                 0.4077,                 1.0061,                0.90356,                   0.95,                0.98167,                0.89174,                0.28534,                    0.3,                0.13957,                0.01728,                0.45541,                 5.4795,                0.39625,                0.60755,                 1.0332,             0.00018304,             0.00018304,             0.00018304
                     10,                0.43964,                  4.383,                0.47609,                0.37894,                0.97974,                0.98732,                   0.95,                0.99262,                0.92313,                0.25214,                    0.4,                0.13485,                0.01588,                0.42264,                 5.4423,                0.38166,                  0.517,                0.99247,             0.00010682,             0.00010682,             0.00010682
