                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.99312,                 5.4005,                0.62036,                0.77323,                  1.293,                0.79645,                0.66667,                0.75328,                0.38546,                 0.3304,                0.22222,                0.10243,                0.02379,                 1.5411,                 7.6346,                0.24061,                  2.958,                  1.956,              0.0019076,              0.0019076,              0.0019076
                     23,                 1.0273,                 5.7221,                 0.6169,                0.82296,                 1.3264,                0.63346,                0.77778,                0.58413,                0.29674,                0.17622,                0.11111,                0.03388,                0.00743,                  1.865,                 8.2514,                0.18519,                 1.8683,                 2.2888,              0.0019032,              0.0019032,              0.0019032
                     24,                0.99389,                 5.5085,                0.60283,                0.79936,                 1.2903,                0.91469,                0.77778,                0.88685,                0.50775,                0.13241,                0.11111,                0.02799,                0.00692,                 1.3041,                 7.8621,                0.20273,                 1.7199,                  1.858,              0.0018988,              0.0018988,              0.0018988
                     25,                 1.0256,                 5.1628,                0.61303,                0.82856,                 1.3124,                0.77493,                0.57408,                0.68264,                0.44268,                0.38108,                   0.25,                0.18817,                0.08696,                 1.0037,                 7.4423,                0.30658,                 1.7349,                  1.462,              0.0018944,              0.0018944,              0.0018944
                     26,                0.98586,                 5.2732,                0.60881,                0.78832,                 1.2734,                0.19019,                0.30556,                 0.1179,                0.05026,                0.04787,                0.19444,                0.01513,                0.00188,                 2.2183,                 7.4958,                0.41648,                  4.256,                 2.6207,                0.00189,                0.00189,                0.00189
                     27,                  1.003,                 5.3922,                0.63463,                0.83294,                  1.327,                0.83226,                0.55144,                0.61597,                0.36826,                0.34005,                0.22222,                0.09286,                0.02227,                 1.3815,                 7.2571,                0.30571,                  1.736,                 1.8208,              0.0018856,              0.0018856,              0.0018856
                     28,                0.97793,                 4.9562,                0.60596,                0.81291,                 1.2544,                0.62205,                0.66667,                0.62012,                0.33976,                0.12821,                0.16667,                0.02693,                0.00641,                 1.3359,                 7.7095,                0.26095,                 2.0834,                 1.8607,              0.0018812,              0.0018812,              0.0018812
                     29,                0.92299,                  4.879,                0.59662,                0.77271,                  1.259,                0.46792,                    0.5,                0.48951,                0.29578,                0.36861,                0.19444,                0.13167,                0.05362,                 1.8048,                 6.8566,                0.49915,                 2.8436,                 2.1479,              0.0018768,              0.0018768,              0.0018768
                     30,                0.97101,                 4.9075,                0.64074,                0.76763,                 1.3066,                0.36547,                0.30403,                 0.2266,                0.13303,                0.18957,                0.05556,                0.03314,                0.00431,                 2.1683,                 8.2621,                0.71968,                 3.5487,                 2.3961,              0.0018724,              0.0018724,              0.0018724
                     31,                 1.0007,                 4.6514,                 0.6379,                0.83137,                 1.3049,                0.31444,                0.22953,                0.17292,                0.06707,                0.07617,                0.05556,                0.01325,                0.00593,                 2.0868,                 8.0866,                0.66388,                  2.988,                 2.3394,               0.001868,               0.001868,               0.001868
                     32,                0.92991,                 5.0761,                0.61052,                0.76361,                 1.2674,                0.31044,                0.38889,                0.24629,                0.08872,                0.05106,                0.02778,                0.00189,                0.00019,                 2.7165,                  8.903,                0.73299,                  3.455,                 3.0595,              0.0018636,              0.0018636,              0.0018636
                     33,                0.94963,                 4.8777,                0.63762,                0.79863,                 1.2845,                0.50878,                0.40304,                0.33435,                0.16689,                0.15697,                0.13889,                0.03324,                0.00413,                 2.3543,                 7.6323,                0.56374,                 2.9432,                 2.5444,              0.0018592,              0.0018592,              0.0018592
                     34,                0.92106,                 4.4944,                0.61028,                0.74741,                 1.2411,                0.64831,                0.38889,                0.43796,                0.20724,                0.13954,                0.08333,                0.01576,                0.00241,                 2.2685,                 8.5288,                0.56599,                 2.2945,                 2.8063,              0.0018548,              0.0018548,              0.0018548
                     35,                0.86005,                 4.6529,                0.60923,                0.67206,                 1.2395,                0.40174,                0.70894,                0.36841,                0.20206,                0.12584,                0.22222,                0.04607,                0.01651,                 1.5024,                 6.9434,                0.39862,                 1.5985,                 2.1248,              0.0018504,              0.0018504,              0.0018504
                     36,                0.85822,                  4.518,                0.61277,                0.68515,                 1.2274,                0.12924,                0.38889,                0.10372,                0.07327,                0.07484,                0.22222,                0.03135,                0.01389,                  1.034,                 6.3985,                0.37448,                 5.2289,                 1.5459,               0.001846,               0.001846,               0.001846
                     37,                0.85702,                 4.6862,                0.61165,                0.73278,                 1.2207,                0.77939,                0.68713,                0.74305,                0.53534,                0.33751,                0.27778,                0.11842,                0.02232,                 1.3025,                 7.3101,                0.41303,                 1.4984,                 2.1946,              0.0018416,              0.0018416,              0.0018416
                     38,                0.95376,                 4.6461,                0.61559,                0.69656,                 1.2734,                0.59517,                0.73525,                0.73323,                0.47095,                0.39735,                0.38889,                0.24223,                0.07911,                  1.122,                 5.0172,                0.33089,                  1.292,                 1.6855,              0.0018372,              0.0018372,              0.0018372
