                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.93616,                 2.7902,                0.54252,                0.78985,                  1.351,                0.18911,                    0.3,                0.16139,                0.11612,                0.19925,                   0.35,                 0.1119,                0.01329,                 2.5206,                 4.8712,                0.25541,                 10.569,                 3.7727,              0.0015842,              0.0015842,              0.0015842
                     23,                0.87774,                 2.9291,                0.50338,                0.80492,                 1.2988,                0.20809,                    0.2,                0.18476,                0.11397,                0.05203,                   0.35,                0.03496,                0.00661,                 2.5426,                 4.4785,                0.45937,                 9.9894,                 3.6913,              0.0015644,              0.0015644,              0.0015644
                     24,                0.79982,                 2.8873,                0.53043,                0.75496,                 1.2457,                0.48415,                    0.4,                0.33997,                0.22124,                0.26809,                    0.2,                0.10126,                0.02051,                 1.3361,                 4.7633,                0.94605,                 3.6729,                  1.898,              0.0015446,              0.0015446,              0.0015446
                     25,                0.86025,                  3.042,                0.51265,                0.79592,                 1.2955,                0.18536,                   0.25,                0.13375,                0.07935,                0.33181,                    0.4,                0.23899,                0.06597,                 2.0843,                 4.5334,                 1.2027,                 3.5598,                 2.4094,              0.0015248,              0.0015248,              0.0015248
                     26,                0.77735,                 3.0419,                0.50883,                0.68173,                 1.2083,                0.24884,                   0.25,                0.17562,                0.09146,                0.26294,                    0.4,                0.21838,                0.04422,                 2.1604,                  4.869,                 1.0346,                 3.9174,                 2.5185,               0.001505,               0.001505,               0.001505
                     27,                0.80092,                 2.7716,                0.46341,                0.77096,                 1.2374,                0.15194,                    0.2,                0.05428,                0.03118,                0.29546,                   0.35,                0.22788,                0.05826,                  2.145,                 4.6268,                 1.1192,                 4.6158,                 2.5511,              0.0014852,              0.0014852,              0.0014852
                     28,                  0.801,                 2.4872,                0.47273,                 0.8306,                 1.2789,                0.22564,                    0.1,                0.03868,                0.01476,                0.47592,                    0.2,                 0.1608,                 0.0449,                 2.6187,                 4.4115,                 1.1314,                 4.4685,                 3.3541,              0.0014654,              0.0014654,              0.0014654
                     29,                0.78506,                 2.9609,                0.54315,                0.77957,                 1.2315,                0.46298,                   0.35,                0.34888,                0.22886,                0.39939,                    0.3,                0.31321,                0.07822,                 1.5796,                 3.7603,                0.48142,                 3.1595,                 2.2558,              0.0014456,              0.0014456,              0.0014456
                     30,                0.74989,                 2.9005,                0.48572,                 0.7307,                  1.238,                0.67195,                0.51268,                0.56066,                0.36681,                0.47748,                0.36622,                0.40604,                0.06963,                  1.168,                 3.5364,                0.24801,                 3.2015,                 1.9015,              0.0014258,              0.0014258,              0.0014258
                     31,                0.67771,                 2.8251,                 0.4899,                0.70069,                 1.1839,                0.42105,                    0.8,                0.59546,                0.44027,                0.46458,                   0.55,                 0.5038,                0.13165,                0.86839,                 3.0983,                0.20485,                 3.0686,                  1.489,               0.001406,               0.001406,               0.001406
                     32,                0.75189,                 2.6919,                0.47195,                0.70161,                 1.1872,                0.47022,                   0.65,                0.47166,                0.36012,                0.43405,                    0.6,                0.37735,                0.11374,                0.77068,                 3.4834,                0.41753,                 4.5208,                 1.2775,              0.0013862,              0.0013862,              0.0013862
                     33,                0.72146,                 2.6215,                0.49618,                0.74669,                 1.2404,                  0.311,                    0.7,                0.31397,                0.24968,                0.28878,                   0.65,                0.26231,                0.07208,                0.66289,                 3.3494,                0.34526,                 7.7893,                 1.2194,              0.0013664,              0.0013664,              0.0013664
                     34,                0.81729,                 2.7018,                0.45035,                0.76716,                 1.2641,                0.52264,                   0.75,                0.50067,                0.41712,                0.49815,                   0.65,                0.38045,                0.11436,                0.61672,                 3.1365,                0.25624,                 3.6769,                 1.2053,              0.0013466,              0.0013466,              0.0013466
                     35,                0.76787,                 2.4452,                0.44445,                0.75602,                 1.2246,                0.54303,                 0.8322,                 0.5735,                0.46108,                0.46637,                    0.7,                0.40958,                0.11763,                0.63407,                 3.2177,                0.25352,                 5.1717,                 1.2666,              0.0013268,              0.0013268,              0.0013268
                     36,                0.67895,                 2.6273,                 0.5016,                0.70037,                 1.1841,                0.50907,                      1,                0.61358,                 0.4859,                0.46621,                    0.9,                0.55561,                0.15909,                0.66629,                 3.0204,                0.35362,                 3.9645,                 1.2183,               0.001307,               0.001307,               0.001307
                     37,                0.76722,                 2.4436,                0.41777,                  0.678,                 1.2383,                0.71236,                    0.9,                0.86907,                0.65759,                0.63698,                    0.8,                0.77657,                0.23115,                0.84595,                 3.2449,                0.27975,                 2.6006,                 1.4083,              0.0012872,              0.0012872,              0.0012872
                     38,                0.70335,                 2.4641,                 0.4316,                0.64467,                 1.2064,                0.70436,                   0.95,                0.94168,                0.77551,                0.66233,                   0.85,                 0.7972,                0.19044,                0.74746,                 3.5351,                0.26131,                 2.2609,                 1.3521,              0.0012674,              0.0012674,              0.0012674
                     39,                0.71294,                 2.8353,                0.44538,                0.65864,                 1.1637,                0.84522,                   0.95,                0.95306,                0.79191,                0.74574,                    0.8,                0.76665,                0.23366,                0.55186,                 3.3095,                0.16764,                 1.9222,                 1.1457,              0.0012476,              0.0012476,              0.0012476
                     40,                0.68947,                 2.5774,                0.46252,                0.64799,                 1.1752,                0.77524,                    0.9,                0.87576,                0.75551,                0.72441,                   0.85,                0.80538,                0.23867,                0.65762,                 3.2304,                0.20333,                 1.1566,                 1.2352,              0.0012278,              0.0012278,              0.0012278
                     41,                0.63626,                 2.7651,                0.43875,                0.64125,                 1.1382,                      1,                0.86892,                0.93639,                0.72678,                0.94257,                0.82132,                0.92787,                0.27236,                0.64421,                 2.9463,                0.18406,                 1.0777,                 1.1829,               0.001208,               0.001208,               0.001208
                     42,                0.74116,                 2.5548,                0.45818,                0.77268,                 1.2634,                0.91559,                   0.85,                0.91552,                0.68038,                0.94853,                0.92205,                0.97348,                0.26932,                0.79024,                 2.8131,                 0.1956,                 1.1296,                 1.2858,              0.0011882,              0.0011882,              0.0011882
                     43,                0.64799,                 2.8266,                 0.3969,                0.68981,                 1.1363,                0.85962,                      1,                0.95553,                0.72266,                0.81173,                   0.95,                0.90596,                0.22803,                0.77173,                 2.9011,                0.19176,                0.92507,                 1.2988,              0.0011684,              0.0011684,              0.0011684
                     44,                0.56841,                 2.4643,                0.38194,                0.63985,                 1.0987,                0.81453,                   0.95,                0.90926,                0.72161,                0.77133,                    0.9,                0.80195,                0.18479,                  0.654,                 2.9801,                0.22884,                 1.0217,                 1.1477,              0.0011486,              0.0011486,              0.0011486
                     45,                0.64042,                 2.6757,                0.41428,                0.62233,                 1.1225,                0.76908,                0.99919,                0.89462,                0.75367,                0.75023,                   0.95,                0.78737,                  0.242,                0.54111,                  2.817,                0.18093,                0.98029,                 1.0815,              0.0011288,              0.0011288,              0.0011288
                     46,                0.61641,                 2.4924,                0.37442,                0.62361,                 1.1056,                0.98503,                   0.95,                0.99045,                0.85512,                0.88021,                   0.85,                0.85157,                0.30022,                0.57249,                 2.8628,                0.15189,                0.79707,                 1.1494,               0.001109,               0.001109,               0.001109
                     47,                0.63461,                 2.4725,                0.41303,                0.54106,                 1.1712,                 0.9758,                   0.95,                0.99045,                0.81712,                0.84101,                0.79378,                0.81417,                0.23541,                0.60593,                 3.1018,                 0.1422,                0.83252,                 1.2018,              0.0010892,              0.0010892,              0.0010892
